OBJECTID,FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Acres,Shape_Length,Shape_Area
7304,7304,46081.61868,2502.800708,7337,1438,310,2502.800919,1.057892776,0.007954938,4.54624E-07
7313,7313,583798.6067,9893.907008,7339,2420,310,9893.907135,13.40222612,0.033229989,5.75943E-06
7318,7318,36545.78125,1438.361505,6932,1639,310,1438.361448,0.838978923,0.004453531,3.60583E-07
7336,7336,12681.84747,494.1834823,7043,834,310,494.1834866,0.291136237,0.001650669,1.25124E-07
7338,7338,23870.5,1015.958708,6790,898,310,1015.958694,0.547993418,0.003130931,2.35536E-07
7351,7351,33853.09179,1423.545186,7551,2436,310,1423.545179,0.777163089,0.004748546,3.3396E-07
7355,7355,25149.91382,665.5512012,7046,1533,310,665.5512919,0.57736492,0.002266594,2.48143E-07
7357,7357,31975.78367,973.7612454,6794,1334,310,973.7613033,0.734065539,0.003334695,3.15521E-07
7359,7359,8871.905906,463.055052,7047,1529,310,463.0550936,0.2036718,0.001388119,8.75345E-08
7371,7371,28862.81608,825.7338768,7555,2434,310,825.7337826,0.662601711,0.002711149,2.84731E-07
7381,7381,35971.22765,1649.349119,7051,0,0,1649.349086,0.825788909,0.005624876,3.54914E-07
7383,7383,226189.508,3529.32269,7444,1583,310,3529.322703,5.192617229,0.012059663,2.23133E-06
7392,7392,316813.3161,5735.52167,7353,0,0,5735.521646,7.273061324,0.017719574,3.12538E-06
7394,7394,51288.95553,3032.599023,6802,1539,310,3032.599065,1.177437107,0.009137534,5.0608E-07
7398,7398,20611.64173,888.647206,7354,839,310,888.6471179,0.473179988,0.002910165,2.03341E-07
7405,7405,59495.22759,2809.331907,7056,0,0,2809.331527,1.365827765,0.009484162,5.86991E-07
7409,7409,7719.793557,643.0266627,7562,1561,310,643.0267346,0.177222808,0.002058415,7.61522E-08
7414,7414,203590.5269,5271.607343,7563,1499,310,5271.607353,4.673814005,0.017862606,2.00837E-06
7421,7421,22216.16553,972.6601196,7359,2421,310,972.6601115,0.51001502,0.003058112,2.19176E-07
7424,7424,22744.32798,905.4030607,6944,895,310,905.403134,0.522140083,0.002688689,2.2441E-07
7430,7430,131416.9065,3449.419871,7361,0,0,3449.419855,3.0169288,0.010726779,1.29644E-06
7435,7435,457213.3238,6585.150966,7062,1532,310,6585.151006,10.49621498,0.020301954,4.51089E-06
7448,7448,91343.17329,2900.658709,6813,1540,310,2900.658761,2.096959434,0.008398914,9.01295E-07
7453,7453,958598.7165,6500.553805,7453,2413,310,6500.55366,22.00648611,0.019639873,9.45666E-06
7459,7459,338019.3168,5586.751414,7366,842,310,5586.751355,7.759887443,0.016865185,3.33462E-06
7469,7469,145698.8072,3717.837032,7368,1587,310,3717.836875,3.344797404,0.01235971,1.43733E-06
7471,7471,15.8531505,26.21304556,7455,1513,310,26.21311327,0.000363942,9.27215E-05,1.56378E-10
7472,7472,505734.0703,7725.113675,7456,1817,310,7725.113593,11.61010304,0.023316791,4.98896E-06
7475,7475,236709.9632,2863.592152,7572,1571,310,2863.592005,5.434134485,0.009134049,2.33498E-06
7478,7478,45613.62187,2124.727181,7370,1519,310,2124.727308,1.047148937,0.00656483,4.49987E-07
7490,7490,42837.10386,1791.133189,7372,1417,310,1791.133289,0.983408906,0.005969332,4.2261E-07
7492,7492,102744.5272,2762.38028,7575,1442,310,2762.380222,2.358699135,0.008212017,1.01355E-06
7496,7496,54223.44741,1482.846379,7070,0,0,1482.8465,1.244803992,0.005070747,5.35001E-07
7498,7498,392867.4117,4409.785325,6822,893,310,4409.785384,9.019031041,0.013419775,3.87638E-06
7501,7501,27571.98828,1002.955584,6823,1642,310,1002.955592,0.632968343,0.003070561,2.72053E-07
7502,7502,61447.43785,1396.41338,7577,770,310,1396.413371,1.410644697,0.004101758,6.0615E-07
7506,7506,98303.60063,3501.597276,7578,0,0,3501.597419,2.256748945,0.010751111,9.69746E-07
7507,7507,18830.29854,837.7195319,7462,1560,310,837.7195207,0.432285891,0.002942827,1.85759E-07
7508,7508,129816.1727,3271.813552,7375,829,310,3271.813767,2.980181235,0.010309586,1.28066E-06
7512,7512,62199.21496,1833.860108,6825,1406,310,1833.860161,1.427903266,0.006166425,6.13744E-07
7514,7514,34505.1166,730.0035076,7464,1233,310,730.0035629,0.792131819,0.002388404,3.40387E-07
7519,7519,33993.66096,1175.308154,7086,838,310,1175.308356,0.780390196,0.003760342,3.3539E-07
7520,7520,44241.07227,1651.38094,6827,1640,310,1651.380918,1.015639393,0.005428451,4.36527E-07
7522,7522,261039.6746,2959.876214,7465,1566,310,2959.876208,5.992670493,0.009892253,2.5751E-06
7523,7523,1148537.898,10377.73179,7580,1412,310,10377.73187,26.36690696,0.033470381,1.13292E-05
7530,7530,109954.6265,3033.8593,7075,0,0,3033.859232,2.52422124,0.009485624,1.08483E-06
7546,7546,119874.9437,2398.745604,7468,1826,310,2398.745712,2.75196112,0.007924122,1.18256E-06
7547,7547,154403.5549,1616.640527,6961,2419,310,1616.640508,3.544631903,0.00520419,1.52349E-06
7559,7559,198547.1644,2435.217132,6963,0,0,2435.217165,4.558034051,0.007839749,1.95901E-06
7562,7562,130625.5782,2780.905152,7471,769,310,2780.905145,2.9987627,0.008869708,1.2886E-06
7568,7568,20729.1665,1190.794571,6965,1637,310,1190.794693,0.475878077,0.003598718,2.04524E-07
7572,7572,216994.218,3224.498327,6967,0,0,3224.498308,4.981521703,0.010678666,2.14096E-06
7579,7579,38840.05258,869.3484425,7085,813,310,869.3484973,0.891648616,0.002740048,3.83204E-07
7581,7581,393034.2881,5299.482644,7476,767,310,5299.482599,9.022862312,0.016798136,3.87718E-06
