OBJECTID,pointid,grid_code
529,529,16.93563843
530,530,16.66217041
531,531,16.16998291
532,532,15.56155396
533,533,14.90188599
534,534,14.12600708
535,535,14.26272583
536,536,13.83547974
537,537,13.21340942
538,538,13.22024536
539,539,13.29202271
540,540,13.32278442
541,541,13.37063599
542,542,13.39797974
543,543,13.54495239
544,544,13.86282349
545,545,14.42337036
546,546,15.44534302
547,547,16.95272827
548,548,18.33016968
549,549,20.50061035
550,550,22.93081665
551,551,25.27560425
552,552,27.4460144
553,553,29.54812622
554,554,31.46218872
555,555,33.16439819
556,556,34.58969116
557,557,35.42025757
558,558,35.82015991
559,559,35.92269897
560,560,35.76547241
561,561,35.38949585
562,562,34.86312866
563,563,34.45639038
564,564,34.50765991
565,565,34.89389038
566,566,34.79476929
567,567,33.8855896
568,568,31.63650513
569,569,28.90893555
570,570,26.60519409
571,571,24.69793701
572,572,22.78384399
573,573,21.10220337
574,574,19.73495483
575,575,19.05477905
576,576,19.00350952
577,577,19.62216187
578,578,20.76379395
579,579,21.8644104
580,580,22.81118774
581,581,23.60415649
582,582,24.38006592
583,583,25.19699097
584,584,26.17453003
585,585,27.02218628
586,586,27.34347534
587,587,27.60324097
588,588,28.037323
589,589,29.56863403
590,590,31.54421997
591,591,32.90802002
592,592,33.50961304
593,593,33.86166382
594,594,33.95736694
595,595,33.78305054
596,596,33.52670288
597,597,33.25668335
598,598,32.96270752
599,599,32.69952393
600,600,32.39874268
601,601,43.07662964
602,602,43.10739136
603,603,44.53271484
604,604,44.85058594
605,605,44.71044922
606,606,44.47460938
607,607,44.05075073
608,608,43.55172729
609,609,42.86471558
610,610,42.0854187
611,611,41.41891479
612,612,39.05703735
613,613,38.41445923
614,614,38.0897522
615,615,37.4335022
616,616,36.64733887
617,617,35.98422241
618,618,35.05795288
619,619,34.33676147
620,620,32.85333252
621,621,31.67410278
622,622,30.99734497
623,623,30.3274231
624,624,29.77713013
625,625,29.20974731
626,626,28.64916992
627,627,27.67501831
628,628,27.51095581
629,629,25.61740112
630,630,23.7784729
631,631,21.99087524
632,632,20.01867676
633,633,18.72323608
634,634,17.68759155
635,635,16.85357666
636,636,16.36138916
637,637,16.07086182
638,638,15.81448364
639,639,15.61624146
640,640,14.74124146
641,641,14.69680786
642,642,14.63186646
643,643,14.45071411
644,644,14.18411255
645,645,14.58743286
646,646,14.30374146
647,647,14.05081177
648,648,13.9380188
649,649,13.75003052
650,650,13.62698364
651,651,13.56204224
652,652,13.53469849
653,653,13.51760864
654,654,13.53128052
655,655,13.65774536
656,656,13.84231567
657,657,13.98587036
658,658,14.21487427
659,659,14.44729614
660,660,14.74124146
661,661,14.85061646
662,662,14.67288208
663,663,14.73440552
664,664,14.93606567
665,665,15.43167114
666,666,16.02984619
667,667,16.42974854
668,668,16.84674072
669,669,16.85357666
670,670,16.75445557
671,671,16.42633057
672,672,16.08453369
673,673,15.69827271
674,674,15.35647583
675,675,15.32913208
676,676,15.27102661
677,677,15.24026489
678,678,14.98733521
679,679,14.72415161
680,680,14.55325317
681,681,14.35501099
682,682,13.79788208
683,683,13.68850708
684,684,13.55178833
685,685,13.68508911
686,686,13.48684692
687,687,13.3364563
688,688,12.95706177
689,689,13.02542114
690,690,13.26809692
691,691,13.5005188
692,692,13.58938599
693,693,13.63381958
